ts,o,h,l,c
2021/05/25,13.89000000,14.65200000,11.98200000,13.62800000
2021/05/26,13.62600000,15.10100000,13.39600000,14.56800000
2021/05/27,14.55600000,14.57600000,12.88000000,13.34600000
2021/05/28,13.35100000,13.52200000,11.06500000,11.95400000
2021/05/29,11.95200000,12.53200000,10.39200000,10.90100000
2021/05/30,10.91700000,12.44000000,10.27400000,11.75300000
2021/05/31,11.75300000,13.33000000,11.17400000,13.31600000
2021/06/01,13.31200000,13.45600000,12.12000000,12.68900000
2021/06/02,12.68700000,13.45000000,12.15200000,12.82400000
2021/06/03,12.82200000,14.08900000,12.60300000,13.54600000
2021/06/04,13.54500000,13.58400000,11.60300000,12.21500000
2021/06/05,12.20000000,13.03100000,11.35500000,11.64100000
2021/06/06,11.64100000,12.18300000,11.49300000,11.91300000
2021/06/07,11.90500000,12.33100000,10.72400000,10.82100000
2021/06/08,10.81000000,11.02200000,9.44300000,10.40000000
2021/06/09,10.41100000,10.97600000,9.87400000,10.89100000
2021/06/10,10.90200000,10.97000000,9.83400000,9.92500000
2021/06/11,9.93500000,10.06000000,8.53600000,8.64300000
2021/06/12,8.64700000,8.75800000,7.91000000,8.47100000
2021/06/13,8.46800000,9.18800000,8.11300000,9.13700000
2021/06/14,9.13400000,10.09500000,8.66800000,10.08400000
2021/06/15,10.08900000,10.46100000,9.52800000,9.72500000
2021/06/16,9.72300000,9.92800000,8.88800000,9.06800000
2021/06/17,9.06700000,9.51000000,8.71600000,9.01100000
2021/06/18,9.01100000,9.02400000,7.91300000,8.31700000
2021/06/19,8.31600000,8.62600000,8.05400000,8.08200000
2021/06/20,8.07800000,8.65400000,7.74900000,8.47000000
2021/06/21,8.47000000,8.53600000,6.47900000,6.55000000
2021/06/22,6.54800000,6.99800000,5.55000000,6.34300000
2021/06/23,6.34100000,7.13800000,6.08200000,6.65200000
2021/06/24,6.65700000,6.92000000,6.29700000,6.61200000
2021/06/25,6.61500000,6.72000000,5.69400000,5.80700000
2021/06/26,5.80800000,6.02200000,5.55800000,5.95600000
2021/06/27,5.95700000,6.42000000,5.81600000,6.42000000
2021/06/28,6.41700000,7.14700000,6.32400000,7.01300000
2021/06/29,7.01700000,7.46500000,6.98300000,7.20100000
2021/06/30,7.20200000,7.36500000,6.65100000,7.34800000
2021/07/01,7.34300000,7.35300000,6.63800000,6.83100000
2021/07/02,6.82900000,6.94800000,6.41900000,6.91500000
2021/07/03,6.91100000,7.50000000,6.76400000,7.28700000
2021/07/04,7.28800000,8.96200000,7.01100000,8.59800000
2021/07/05,8.59800000,11.49900000,8.37000000,10.59900000
2021/07/06,10.60500000,12.74600000,10.36300000,11.19400000
2021/07/07,11.18400000,11.85800000,10.66300000,10.77100000
2021/07/08,10.76700000,10.76700000,9.39500000,9.61100000
2021/07/09,9.61900000,12.13000000,9.17300000,11.47200000
2021/07/10,11.47800000,11.95700000,10.49100000,11.03900000
2021/07/11,11.05100000,12.89000000,10.76800000,12.42500000
2021/07/12,12.42400000,13.65000000,12.03900000,12.09700000
2021/07/13,12.09200000,12.23800000,10.79100000,10.99700000
2021/07/14,10.99200000,11.11800000,10.01200000,10.45400000
2021/07/15,10.44600000,10.80700000,9.43000000,9.58200000
